number,name,year,pic,dnt,rat,desc,footer,v_g
1.,Logan,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"A 137 min Action, Drama, Sci-Fi",8.1     Rate this            1 2 3 4 5 6 7 8 9 10  8.1/10 X      77  Metascore,"
In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.","Director:James Mangold, Stars:Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","Votes:472,006 Gross:$226.28M"
2.,Wonder Woman,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 141 min Action, Adventure, Fantasy",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X      76  Metascore,"
When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Director:Patty Jenkins, Stars:Gal Gadot, Chris Pine, Robin Wright, Lucy Davis","Votes:401,962 Gross:$412.56M"
3.,Dunkirk,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 106 min Action, Drama, History",8.0     Rate this            1 2 3 4 5 6 7 8 9 10  8/10 X      94  Metascore,"
Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.","Director:Christopher Nolan, Stars:Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy","Votes:379,848 Gross:$188.37M"
4.,Star Wars: Episode VIII - The Last Jedi,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 152 min Action, Adventure, Fantasy",7.3     Rate this            1 2 3 4 5 6 7 8 9 10  7.3/10 X      85  Metascore,"
Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","Director:Rian Johnson, Stars:Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher","Votes:365,160 Gross:$620.18M"
5.,Guardians of the Galaxy Vol. 2,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 136 min Action, Adventure, Sci-Fi",7.7     Rate this            1 2 3 4 5 6 7 8 9 10  7.7/10 X      67  Metascore,"
The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.","Director:James Gunn, Stars:Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Votes:363,459 Gross:$389.81M"
6.,Spider-Man: Homecoming,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 133 min Action, Adventure, Sci-Fi",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X      73  Metascore,"
Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Director:Jon Watts, Stars:Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Votes:305,759 Gross:$334.20M"
7.,Thor: Ragnarok,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 130 min Action, Adventure, Comedy",7.9     Rate this            1 2 3 4 5 6 7 8 9 10  7.9/10 X      74  Metascore,"
Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, which is at the hands of the powerful and ruthless villain Hela.","Director:Taika Waititi, Stars:Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo","Votes:300,243 Gross:$315.06M"
8.,Get Out,(I) (2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 104 min Horror, Mystery, Thriller",7.7     Rate this            1 2 3 4 5 6 7 8 9 10  7.7/10 X      84  Metascore,"
A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Director:Jordan Peele, Stars:Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","Votes:295,747 Gross:$176.04M"
9.,Baby Driver,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 112 min Action, Crime, Music",7.7     Rate this            1 2 3 4 5 6 7 8 9 10  7.7/10 X      86  Metascore,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Director:Edgar Wright, Stars:Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González","Votes:291,316 Gross:$107.83M"
10.,Blade Runner 2049,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 164 min Drama, Mystery, Sci-Fi",8.1     Rate this            1 2 3 4 5 6 7 8 9 10  8.1/10 X      81  Metascore,"
A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.","Director:Denis Villeneuve, Stars:Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","Votes:283,317 Gross:$92.05M"
